company_id,company_name,founded_year,india_employee_count,global_employee_count
6156022,UG Training Academy,,,
10698,Allegis Group,1983,501-1k,10k-50k
204771,Broadridge,2007,1k-5k,10k-50k
1141,Teleperformance (TP),,,
3296168,Elabs Infotech,,,
123802593,Collabera Talent Solutions,,,
115770,CIMIC Group,1949,,10k-50k
530,Hurix,2000,501-1k,501-1k
59290,Paytm,2010,5k-10k,
1654,Berger Paints,1923,1k-5k,
932996,Lavya Associates HR Services,2012,51-200,51-200
113,Avery Dennison,1995,501-1k,10k-50k
2693060,Fidelity Health Services,,,
1555150,Burger King,2014,5k-10k,50k-1 Lakh
759377,JSW Steel,1982,10k-50k,10k-50k
75825,PVR Cinemas,1997,5k-10k,
56,Alp Consulting,1996,201-500,
123871777,QAsolvers,2021,201-500,
1849988,McDonalds,1955,5k-10k,1 Lakh+
6452456,Goguardian,,,
1879154,H B Fuller,1887,,5k-10k
3124812,The Luxury Closet,2011,51-200,
210945,Futurism Technologies,2003,201-500,501-1k
5319094,Aster MIMS,2000,1k-5k,
1983696,Aster Medcity,2015,,1k-5k
6129540,Marquee Equity,2016,201-500,
123930017,Rakesh Trading,,,
123919673,Sporty Group,,,
6320048,GT Solution,,,
1360722,Tredence,2013,1k-5k,
5792850,Redcliffe Diagnostics,,,
246425,Tata Capital,2007,5k-10k,
299157,NMS Consultant,,,
389,Ericsson,1876,10k-50k,1 Lakh+
1060,Publicis Resources,,,
5113406,Vrit Techno Soft,,,
3386548,Team Plus Staffing Solution,,,
2937,Globallogic,2000,10k-50k,10k-50k
2368542,Licious,2015,1k-5k,1k-5k
44205,Methodex,1960,1k-5k,
1396,Yash Technologies,1996,5k-10k,5k-10k
18252,Schneider Electric,1999,10k-50k,1 Lakh+
9156,EY,2002,10k-50k,1 Lakh+
123908729,AKR Infotech Pvt. Ltd.,,,
443,Synechron,2001,5k-10k,10k-50k
6326174,Medi Infotech,,,
4266938,Yulu Bikes,2017,201-500,201-500
123917363,Kwality Recruitments,,,
3128,MothersonSumi INfotech & Designs (MIND),,,
75773,Jubilant FoodWorks (JFL),,,
99003,Marvell Semiconductors,,,
367431,Metaphor Infotech,,,
25521,Atkins,1938,1k-5k,10k-50k
2113,Orra Fine Jewellery,1888,201-500,1k-5k
169930,"Intertrust Group, a CSC Company",,,
2007768,Bira 91,2015,501-1k,501-1k
8824,Citicorp Finance,1997,201-500,1 Lakh+
1593120,Sunrise Job Consultancy,,,
123702645,Ukiyo Stays,,,
123667911,Susania,,,
1214,Tata Chemicals,1939,1k-5k,1k-5k
6191350,G M Infotech,,,
1304302,GOQii Technologies Pvt Ltd,,,
14760,Asian Paints,1942,10k-50k,
438151,Kokilaben Dhirubhai Ambani Hospital,2009,1k-5k,1k-5k
5784624,Thinkparms Infotech,,,
65085,Hinduja Global Solutions (HGS),,,
221680,Trent Limited - A TATA Enterprise,,,
208840,Spicejet,2004,5k-10k,10k-50k
28518,IIFL Finance,,,
1188,Sutherland,1986,10k-50k,10k-50k
146081,IKS HEALTH,2007,5k-10k,5k-10k
123939983,AL Safi United,,,
5354184,Purna Infotech,,,
113017,Sun Life,1865,1k-5k,10k-50k
95443,Grant Thornton,1924,5k-10k,5k-10k
5054286,MRT Infotech,,,
931238,Acuity Knowledge Partners,2002,1k-5k,5k-10k
2524780,Tracxn,2013,501-1k,501-1k
2164986,Perfect Publishing Solutions,,,
